Option,Hazards,Assets,Action Type,Sub-Action Type,Source Plan,URL,Toolkit Case Study
"Collaborate with emergency management officials to create a flood forecasting and community warning or public notification system. North Carolina has the Flood Inundation Mapping and Alert Network (https://fiman.nc.gov/), but the network does not have gauges in every community. Several communities manage their own programs and share data with the FIMAN system.","Flooding – Coastal,Flooding – General",People,Preparedness & Response,Early warning,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
Collaborate with federal and state partners on flood protection projects.,"Flooding – General,Flooding – Rainfall-induced",Multiple or All Assets,Partnerships & Collaboration,Partnerships,"Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
Collaborate with healthcare providers to develop and promote a wildfire smoke exposure checklist. Educate providers who are unaware. ,"Air Quality,Wildfire",People,Partnerships & Collaboration,Partnerships,"Missoula, MT Regional Adaptation Strategy",https://www.climatereadymissoula.org/uploads/1/2/6/6/126687164/revisedclimatereadymissoula_2.22.20.pdf,https://toolkit.climate.gov/case-studies/missoula-mt-regional-adaptation-strategy-0
Collaborate with local and regional partners to provide robust trail and park maintenance to prevent and respond to damage from climate change impacts.,Multiple or All Hazards,"Aquatic and Marine Resources,Natural Areas and Wildlife",Partnerships & Collaboration,Partnerships,Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
"Collaborate with local and regional partners to support business resiliency through preparedness education, trainings and resources.",Multiple or All Hazards,Economy,Partnerships & Collaboration,Partnerships,Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
Collaborate with others to learn new methods of managing and living with water and sea level rise. One example is working with the Dutch Dialogues program.,"Flooding – Coastal,Flooding – General",Multiple or All Assets,Partnerships & Collaboration,Partnerships,"Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
"Collaborate with partner agencies on water quality improvement efforts, including capital projects and programming.",Water Quality,Water Infrastructure – Drinking Water,Partnerships & Collaboration,Partnerships,"St Paul, MN Climate Action & Resilience Plan",https://www.stpaul.gov/sites/default/files/Media%20Root/Mayor%27s%20Office/Saint%20Paul%20Climate%20Action%20%26%20Resilience%20Plan.pdf,https://toolkit.climate.gov/case-studies/st-paul-mn-climate-action-resilience-plan-1
"Collaborate with partners to perform outreach to the community, particularly vulnerable populations.","Multiple or All Hazards,Flooding – Rainfall-induced",People,Partnerships & Collaboration,Partnerships,"Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
Collaborate with public works departments and regional transit providers to increase shading and heat-mitigating materials on pedestrian walkways and transit stops.,Extreme Heat,"Transportation and Mobility,People",Partnerships & Collaboration,Partnerships,Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
"Collaborate with rail lines and airports to identify and address critical flooding areas (i.e., capital projects for stormwater infrastructure adjacent to rails, culvert improvements, etc.).","Flooding – Coastal,Flooding – General,Flooding – Rainfall-induced",Transportation and Mobility,Partnerships & Collaboration,Partnerships,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Collaborate with resource management agencies and the Soil and Water Conservation District to research the most effective and environmentally responsible ways to implement vegetation treatments to reduce wildland fire risk near utility plants.,Wildfire,"Urban Landscape and Tree Canopy,Water Infrastructure – Wastewater,Energy and Utilities,Natural Areas and Wildlife",Partnerships & Collaboration,Partnerships,"City of Seattle, WA: Preparing for a Changing Climate",https://www.seattle.gov/Documents/Departments/Environment/ClimateChange/SEAClimatePreparedness_August2017.pdf,https://toolkit.climate.gov/case-studies/city-seattle-wa-preparing-changing-climate-1
"Collaborate with state floodplain managers and mitigation officials to incorporate Integrated Flood Management (IFM) approaches that consider entire basins or watersheds into local plans. IFM considers land and water resource development across a river basin. It uses a multi-disciplinary approach to manage floodwater, reduce risks from flooding and benefit ecosystems. ","Flooding – Coastal,Flooding – General","Multiple or All Assets,Natural Areas and Wildlife",Partnerships & Collaboration,Partnerships,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
Collaborate with state resource management agencies and partner institutions to map landslide risk along transmission line rights-of-way and critical access roads. Include research on the effects of heavier precipitation on existing landslide risk.,Landslides,"Transportation and Mobility,Critical Facilities,Energy and Utilities",Partnerships & Collaboration,Partnerships,"City of Seattle, WA: Preparing for a Changing Climate",https://www.seattle.gov/Documents/Departments/Environment/ClimateChange/SEAClimatePreparedness_August2017.pdf,https://toolkit.climate.gov/case-studies/city-seattle-wa-preparing-changing-climate-1
Collaborate with your health department and Area Agency on Aging to identify individuals vulnerable to the effects of erosion or landslides. Determine if they may need additional support or public services. ,"Landslides,Erosion and Shoreline Recession",People,"""Health, Wellness, & Security""",Public Health,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
"Collect, measure and analyze the impacts of extreme weather and coastal flood events. Include information from community members.",Flooding – General,Multiple or All Assets,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
Communicate strategies for water conservation to the public during Droughts.,Drought,Water Infrastructure – General,"""Policy, Codes, & Standards""",Building Codes,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Compare natural and built infrastructure improvements to see which would be more cost effective at managing flooding.,"Flooding – Coastal,Flooding – General,Flooding – Rainfall-induced",Water Infrastructure – Stormwater,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",US Climate Resilience Toolkit,,
"Complete a climate readiness assessments of drinking water, stormwater and wastewater infrastructure.","Multiple or All Hazards,Flooding – Rainfall-induced","Water Infrastructure – Drinking Water,Water Infrastructure – General,Water Infrastructure – Stormwater",Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",Vermont Climate Action Plan,https://outside.vermont.gov/agency/anr/climatecouncil/Shared%20Documents/Initial%20Climate%20Action%20Plan%20-%20Final%20-%2012-1-21.pdf,https://toolkit.climate.gov/case-studies/vermont-climate-action-plan-1
Complete a comprehensive climate adaptation strategy. ,"Multiple or All Hazards,Flooding – General","Multiple or All Assets,Water Infrastructure – Stormwater",Planning & Management,Planning,"City of Seattle, WA: Preparing for a Changing Climate",https://www.seattle.gov/Documents/Departments/Environment/ClimateChange/SEAClimatePreparedness_August2017.pdf,https://toolkit.climate.gov/case-studies/city-seattle-wa-preparing-changing-climate-1
Complete a statewide climate change impact assessment for commercial sector and natural resource based industries ,Changing Seasons,Economy,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",Vermont Climate Action Plan,https://outside.vermont.gov/agency/anr/climatecouncil/Shared%20Documents/Initial%20Climate%20Action%20Plan%20-%20Final%20-%2012-1-21.pdf,https://toolkit.climate.gov/case-studies/vermont-climate-action-plan-1
"Complete an inventory of locations where critical facilities, other buildings and infrastructure are at high risk for erosion or landslides. ","Landslides,Erosion and Shoreline Recession","Critical Facilities,Multiple or All Assets",Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
